id;ad_id;lifecycle_id;metric_name;metric_value;timestamp;window_type;stage;created_at;metadata;window_size;anomalies_detected;seasonality_detected;time_period;timestamps;values;trend_direction
055d31ad-9045-4054-ac22-5f1adaac1a1d;120232965437600160;lifecycle_120232965437600160;purchases;0.0000;2025-10-26 05:43:09.761003+00;;scaling;2025-10-26 04:43:09.84756+00;"{""clicks"":4,""impressions"":231}";1h;false;false;1d;[];[];stable
05633c23-b75c-424a-ba4a-5d9b02eafe71;120232965437600160;lifecycle_120232965437600160;spend;23.5100;2025-10-26 21:40:50.685341+00;;validation;2025-10-26 20:40:50.773171+00;"{""clicks"":4,""impressions"":297}";1h;false;false;1d;[];[];stable
056418c6-6974-49d2-b09c-106db4d68f23;120232965440920160;lifecycle_120232965440920160;cpc;0.0000;2025-10-28 05:45:26+00;;validation;2025-10-28 04:45:26.238975+00;{};1h;false;false;1d;[];[];stable
0565afc5-ce3e-49c9-a545-81590ca4eec8;120232965425640160;lifecycle_120232965425640160;purchases;0.0000;2025-10-27 14:09:34+00;;validation;2025-10-27 13:09:34.469226+00;{};1h;false;false;1d;[];[];stable
056e8ad7-5f6b-4436-a340-fc09d148cbd4;120232965429540160;lifecycle_120232965429540160;roas;0.0000;2025-10-27 18:42:38+00;;validation;2025-10-27 17:42:38.888764+00;{};1h;false;false;1d;[];[];stable
057490c2-3173-4061-8f77-fc80115ce99f;120232965433110160;lifecycle_120232965433110160;ctr;7.1429;2025-10-27 21:06:04+00;;validation;2025-10-27 20:06:04.617842+00;{};1h;false;false;1d;[];[];stable
0577de8d-d738-410c-9ce4-bda4c9ebbbc2;120232965423280160;lifecycle_120232965423280160;cpm;0.0000;2025-10-25 13:53:55.040679+00;;scaling;2025-10-25 11:53:55.143372+00;"{""clicks"":0,""impressions"":1}";1h;false;false;1d;[];[];stable
058264a1-79a5-48d8-9a8d-e78084b27d4f;120232215972100160;lifecycle_120232215972100160;cpa;0.0000;2025-10-27 22:37:39+00;;validation;2025-10-27 21:37:39.958905+00;{};1h;false;false;1d;[];[];stable
05850137-d29e-4210-95aa-6f6c714e16f3;120232965440920160;lifecycle_120232965440920160;roas;0.0000;2025-10-27 15:07:56+00;;validation;2025-10-27 14:07:56.414441+00;{};1h;false;false;1d;[];[];stable
05889a0c-8b76-4b08-a845-f5759e9f4283;120232965437600160;lifecycle_120232965437600160;cpa;0.0000;2025-10-27 23:42:31+00;;scaling;2025-10-27 22:42:31.339524+00;{};1h;false;false;1d;[];[];stable
0589a81c-799f-4fa9-a6da-46df657a7d13;120232965440920160;lifecycle_120232965440920160;ctr;0.0000;2025-10-27 20:36:11+00;;validation;2025-10-27 19:36:11.755364+00;{};1h;false;false;1d;[];[];stable
059b054a-983c-458a-93c7-6d5c876766d0;120232965429540160;lifecycle_120232965429540160;cpc;0.0000;2025-10-27 23:41:33+00;;validation;2025-10-27 22:41:33.241043+00;{};1h;false;false;1d;[];[];stable
059d642f-5f66-41ec-a3db-d4cd33c62dfd;120232965440920160;lifecycle_120232965440920160;spend;0.2000;2025-10-27 16:08:21+00;;scaling;2025-10-27 15:08:21.368476+00;{};1h;false;false;1d;[];[];stable
05a8619d-1133-4ea5-9673-6e0a805971f9;120232965433110160;lifecycle_120232965433110160;roas;0.0000;2025-10-27 07:37:53.965872+00;;validation;2025-10-27 06:37:54.053697+00;"{""clicks"":1,""impressions"":10}";1h;false;false;1d;[];[];stable
05a9f6c3-49c7-4dae-bdec-f015a0133a9b;120232965437600160;lifecycle_120232965437600160;cpm;78.9262;2025-10-26 21:50:56.115779+00;;scaling;2025-10-26 20:50:56.224794+00;"{""clicks"":4,""impressions"":298}";1h;false;false;1d;[];[];stable
05b0fd7c-eb57-4fa0-baeb-ec19f533aa8f;120232056896520160;lifecycle_120232056896520160;spend;1.2900;2025-10-27 10:45:02.20564+00;;validation;2025-10-27 09:45:02.305935+00;"{""clicks"":0,""impressions"":2}";1h;false;false;1d;[];[];stable
